composition,temperature,temp_value,element,n_runs,D_ensemble,R2_ensemble,intercept
pt8sn6-1-best,500K,500,Sn,1,1.070170912124372e-06,0.9529721547305637,2.6026558597977054
pt8sn6-1-best,600K,600,Pt,1,2.672523286928791e-07,0.5423276579446608,1.139678345634178
pt8sn6-1-best,600K,600,PtSn,1,3.008345626925613e-07,0.5161129008810086,1.3794194924092735
pt8sn6-1-best,600K,600,Sn,1,3.7441610445428065e-07,0.44792825063692454,1.904714514214104
pt8sn6-1-best,700K,700,Pt,1,4.391782128172367e-06,0.9668470534435163,-1.1083789050918433
pt8sn6-1-best,700K,700,PtSn,1,4.4105384918235756e-06,0.9689587372560775,-0.8513278451697275
pt8sn6-1-best,700K,700,Sn,1,4.451636004653939e-06,0.9724098649346515,-0.2881056592763578
pt8sn6-1-best,800K,800,Pt,1,3.665486403633734e-06,0.7730975775597744,0.20200619013379395
pt8sn6-1-best,800K,800,PtSn,1,3.1039531321772536e-06,0.7333241974624995,2.7034878297516656
pt8sn6-1-best,800K,800,Sn,1,1.8735863145957874e-06,0.5575334531099043,8.18444877160162
pt8sn6-1-best,900K,900,Pt,2,3.363643148720994e-06,0.8541644684466946,9.276208805803801
pt8sn6-1-best,900K,900,PtSn,2,3.5787910729965387e-06,0.8759722470715047,9.562817664987161
pt8sn6-1-best,900K,900,Sn,2,4.050201346609651e-06,0.9068923081316845,10.190795730767736
pt8sn5-1-best,1000K,1000,Pt,3,5.775992892683448e-06,0.9019485344012598,13.173812815899474
pt8sn5-1-best,1000K,1000,PtSn,3,5.7048242533116935e-06,0.89469382201982,14.496533428587835
pt8sn5-1-best,1000K,1000,Sn,3,5.517698969015509e-06,0.8717926311427884,17.974361557194676
pt8sn5-1-best,1100K,1100,Pt,5,2.2371114149650076e-05,0.9952721843505521,-1.536093568928223
pt8sn5-1-best,1100K,1100,PtSn,5,2.2324303560001824e-05,0.9949688190654662,0.09396872067043205
pt8sn5-1-best,1100K,1100,Sn,5,2.220121452059778e-05,0.9935300806436823,4.379902338994867
pt8sn5-1-best,300K,300,Pt,1,-7.079336437197892e-09,0.04647393150313716,0.35127875728597735
pt8sn5-1-best,300K,300,PtSn,1,-7.928339028671518e-09,0.04282771953784341,0.40593127416915376
pt8sn5-1-best,300K,300,Sn,1,-1.0160635995951307e-08,0.03540658883412307,0.5496293099278994
pt8sn5-1-best,600K,600,Pt,1,1.6151479132314433e-06,0.9554528960872535,-0.19743661501109777
pt8sn5-1-best,600K,600,PtSn,1,1.611723066640778e-06,0.9525100629785667,-0.21390435209273306
pt8sn5-1-best,600K,600,Sn,1,1.6027166342832685e-06,0.9384563161253091,-0.2572011300843098
pt8sn5-1-best,700K,700,Pt,1,1.2182251344698214e-06,0.962355789858252,-0.3676513877060099
pt8sn5-1-best,700K,700,PtSn,1,1.4333244420241324e-06,0.968961702735073,-0.4460904901577658
pt8sn5-1-best,700K,700,Sn,1,1.998884786052734e-06,0.9737824992228082,-0.6523277224186934
pt8sn5-1-best,900K,900,Pt,3,2.21444939004585e-06,0.9450346829970075,9.120795138524665
pt8sn5-1-best,900K,900,PtSn,3,2.3251685311282603e-06,0.942578127057706,10.135578583836688
pt8sn5-1-best,900K,900,Sn,4,2.2936813268290292e-06,0.8680420830632012,13.047046103128084
pt8sn4-1-best,1000K,1000,Pt,5,7.679174182158835e-07,0.44901053419992754,15.241940372335545
pt8sn4-1-best,1000K,1000,PtSn,5,1.0573314170976618e-06,0.6523936501790786,14.994671188774285
pt8sn4-1-best,1000K,1000,Sn,5,2.008529447358319e-06,0.9227846084856666,14.181977768282326
pt8sn4-1-best,1100K,1100,Pt,3,3.918403603740906e-06,0.962163653128657,15.339900743552413
pt8sn4-1-best,1100K,1100,PtSn,3,4.054535156784217e-06,0.962582083748114,16.944412984734157
pt8sn4-1-best,1100K,1100,Sn,3,4.501950267600963e-06,0.9242727394068874,22.217838207802515
pt8sn4-1-best,300K,300,Pt,1,-6.696624597731209e-09,0.14701911780657315,0.2020392749071528
pt8sn4-1-best,300K,300,PtSn,2,-2.3128138236112787e-09,0.0323846084507903,0.19153138623963126
pt8sn4-1-best,300K,300,Sn,2,-5.468219681854069e-09,0.08601152435282511,0.2839761929564026
pt8sn4-1-best,400K,400,Pt,1,-8.258154743701403e-09,0.14444687322724156,0.277084327154487
pt8sn4-1-best,400K,400,PtSn,1,-9.283385795459225e-09,0.13925531228749674,0.32161694755448883
pt8sn4-1-best,400K,400,Sn,1,-1.2652969907491936e-08,0.11346485143800233,0.46797932024746736
pt8sn4-1-best,500K,500,Pt,1,-9.525819121919374e-09,0.31607801938426505,0.2684403595041395
pt8sn4-1-best,500K,500,PtSn,1,-1.0380289320482888e-08,0.2960163417768449,0.32039088877885946
pt8sn4-1-best,500K,500,Sn,1,-1.3188624115551665e-08,0.17107144099937766,0.49113309002001393
pt8sn4-1-best,800K,800,Pt,1,1.970300332445504e-06,0.9743105038756883,3.1477955628012957
pt8sn4-1-best,800K,800,PtSn,1,1.7263590376467387e-06,0.9655804374587651,3.8120309294675607
pt8sn4-1-best,800K,800,Sn,1,9.246143006997163e-07,0.7707469917030345,5.995131878514302
pt8sn4-1-best,900K,900,Pt,3,9.4988555619404e-07,0.902235333722945,8.506848455697492
pt8sn4-1-best,900K,900,PtSn,3,1.078594225167122e-06,0.89016933636041,9.563879319595728
pt8sn4-1-best,900K,900,Sn,3,1.5016120452952612e-06,0.7295684669010439,13.037948193573861
pt8sn3-1-best,1000K,1000,Pt,6,3.302648502860023e-06,0.9479970547494299,8.462811074541083
pt8sn3-1-best,1000K,1000,PtSn,6,3.3927286365585855e-06,0.939606327020081,8.701166039215199
pt8sn3-1-best,1000K,1000,Sn,4,3.3522079715137247e-06,0.7903949744349933,13.117126971681774
pt8sn3-1-best,1100K,1100,Pt,3,2.2922983279595456e-06,0.8993164296476986,11.870757023196267
pt8sn3-1-best,1100K,1100,PtSn,4,2.1731866333395733e-06,0.8930200553111617,12.128198811652975
pt8sn3-1-best,1100K,1100,Sn,4,1.8993620659254349e-06,0.8127446168399032,15.665853116874956
pt8sn3-1-best,300K,300,Pt,1,2.0358091582590457e-07,0.9497871326305658,0.073015849661479
pt8sn3-1-best,300K,300,PtSn,1,2.478603803952378e-07,0.9521674104366259,0.06253883549475847
pt8sn3-1-best,300K,300,Sn,1,4.419007889752567e-07,0.9510780286500169,0.016626310961114665
pt8sn3-1-best,600K,600,Pt,2,4.642165251607638e-07,0.9375718881258537,0.8077206110529009
pt8sn3-1-best,600K,600,PtSn,1,7.518517993668073e-07,0.9231961321412607,0.899967101579505
