composition,temperature,temp_value,element,n_runs,n_runs_original,n_runs_filtered,D_ensemble,R2_ensemble,intercept
Sn6Pt5O2,400K,400,Sn,5,6,1,2.984439843642777e-08,0.4184981120546627,0.5522191446897778
Sn6Pt5O2,500K,500,Pt,6,6,0,4.998557602926015e-07,0.8964991203045019,1.3058492620542435
Sn6Pt5O2,500K,500,PtSn,6,6,0,4.4211154474434986e-07,0.8780583821347671,1.2089560782978248
Sn6Pt5O2,500K,500,Sn,6,6,0,3.6303491539026284e-07,0.8381726509372077,1.0762676884711009
Sn6Pt5O2,600K,600,Pt,6,6,0,4.054597169537552e-07,0.9729616053076664,1.3269681381198373
Sn6Pt5O2,600K,600,PtSn,6,6,0,3.615207971025689e-07,0.9726151249118361,1.274182811174249
Sn6Pt5O2,600K,600,Sn,6,6,0,3.013496907927238e-07,0.9496656784296577,1.2018967740772446
Sn6Pt5O2,700K,700,Pt,6,6,0,5.602807087462314e-07,0.9570356688741871,2.4364940359704295
Sn6Pt5O2,700K,700,PtSn,6,6,0,4.928971485248451e-07,0.9503121005996231,2.1849777422853767
Sn6Pt5O2,700K,700,Sn,6,6,0,4.006200123105626e-07,0.9143119239957049,1.840544581001716
Sn6Pt5O2,800K,800,Pt,4,6,2,8.239256270165372e-07,0.9065977790586334,4.985944808258517
Sn6Pt5O2,800K,800,PtSn,4,6,2,8.585438892324868e-07,0.9297799746670019,4.643292175697143
Sn6Pt5O2,800K,800,Sn,2,6,4,8.855569373176798e-07,0.8944922494065435,3.747027949894135
Sn6Pt5O2,900K,900,Pt,5,6,1,1.0660383532272936e-06,0.9309058110755898,5.926079476330676
Sn6Pt5O2,900K,900,PtSn,5,6,1,8.586916354155575e-07,0.9113294866835612,5.549141071831714
Sn6Pt5O2,900K,900,Sn,5,6,1,5.747445421816176e-07,0.8175991528662145,5.032953970030195
Sn5O2Pt4,1000K,1000,Pt,5,6,1,3.421439140384402e-07,0.839928716978735,3.678694740183163
Sn5O2Pt4,1000K,1000,PtSn,5,6,1,1.7862518598515322e-07,0.6761564341455798,3.198086694850187
Sn5O2Pt4,1000K,1000,Sn,5,6,1,-3.6345116336575393e-08,0.0781422498325055,2.5662534111322968
Sn5O2Pt4,1100K,1100,Pt,4,6,2,9.65941319573742e-07,0.8461815675346145,7.478385555125147
Sn5O2Pt4,1100K,1100,PtSn,4,6,2,6.042584983370617e-07,0.7858835176747706,6.721840959225438
Sn5O2Pt4,1100K,1100,Sn,4,6,2,1.2877097580616474e-07,0.1853825497905326,5.7272473769093395
Sn5O2Pt4,200K,200,Pt,6,6,0,1.1062783794301744e-09,0.030567812089487383,0.16154572441455847
Sn5O2Pt4,200K,200,PtSn,6,6,0,8.775716023081551e-10,0.02342249607423512,0.1570875927788796
Sn5O2Pt4,200K,200,Sn,6,6,0,5.769034398620562e-10,0.01136880291242397,0.15122668530580569
Sn5O2Pt4,300K,300,Pt,4,6,2,7.679090988475723e-09,0.05272009790441113,0.4845300158334679
