group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O3Pt5Sn7_1100K_Pt,O3Pt5Sn7,1100K,Pt,29,5.951e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1100K\T1100.r29.gpu0_msd_Pt.xvg,IQR_outlier
O3Pt5Sn7_1100K_Pt,O3Pt5Sn7,1100K,Pt,9,1.4840000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o3-3\O3Pt5Sn7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O3Pt5Sn7_1100K_Pt,O3Pt5Sn7,1100K,Pt,9,8.23e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o3-2\O3Pt5Sn7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O3Pt5Sn7_1100K_Pt,O3Pt5Sn7,1100K,Pt,27,9.49e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1100K\T1100.r27.gpu0_msd_Pt.xvg,Intercept>10.0A²
O3Pt5Sn7_1100K_Pt,O3Pt5Sn7,1100K,Pt,28,2.6e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1100K\T1100.r28.gpu0_msd_Pt.xvg,Intercept>10.0A²
O3Pt5Sn7_1100K_PtSn,O3Pt5Sn7,1100K,PtSn,29,4.1510000000000006e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1100K\T1100.r29.gpu0_msd_PtSn.xvg,IQR_outlier
O3Pt5Sn7_1100K_Sn,O3Pt5Sn7,1100K,Sn,29,2.0390000000000003e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1100K\T1100.r29.gpu0_msd_Sn.xvg,Intercept>10.0A²
O3Pt5Sn7_400K_Pt,O3Pt5Sn7,400K,Pt,7,4.1500000000000005e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\400K\T400.r7.gpu0_msd_Pt.xvg,IQR_outlier
O3Pt5Sn7_400K_PtSn,O3Pt5Sn7,400K,PtSn,7,5.09e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\400K\T400.r7.gpu0_msd_PtSn.xvg,IQR_outlier
O3Pt5Sn7_400K_Sn,O3Pt5Sn7,400K,Sn,7,6.19e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\400K\T400.r7.gpu0_msd_Sn.xvg,IQR_outlier
O3Pt5Sn7_500K_Pt,O3Pt5Sn7,500K,Pt,10,9.29e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\500K\T500.r10.gpu0_msd_Pt.xvg,IQR_outlier
O3Pt5Sn7_500K_PtSn,O3Pt5Sn7,500K,PtSn,10,6.3e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\500K\T500.r10.gpu0_msd_PtSn.xvg,IQR_outlier
O3Pt5Sn7_500K_Sn,O3Pt5Sn7,500K,Sn,10,2.8e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\500K\T500.r10.gpu0_msd_Sn.xvg,IQR_outlier
