series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,6,600K,600,8.0,6.0,14.0,0.15727198858215904,0.03199592117167093,0.0,0.0,3.921488185640468,0.20664532292771437,0.2835407002773442,3.931037558701962,0.15110057040171523,0.5040723560486119,3.0700623523646136,0.2929224196349891,10
Pt8Snx,6,700K,700,8.0,6.0,14.0,0.15999104252744187,0.039675327068771735,0.0,0.0,4.240863582698946,0.2732668543527942,0.25684109348457407,3.4191910094041043,0.1132587798169969,0.45660638841702045,3.0785409292886854,0.8300199131621648,10
Pt8Snx,6,800K,800,8.0,6.0,14.0,0.16805094867475673,0.04490750971962649,0.0,0.0,4.185000677035292,0.2749311771636216,0.2481939074657899,3.2626103770446435,0.10253478290159171,0.4412336132725154,3.141148258116218,0.9081234861994603,10
Pt8Snx,6,900K,900,8.0,6.0,14.0,0.1661299824956309,0.0417849188889762,0.0,0.0,4.200043121801764,0.2827071950333643,0.24229819519185627,3.169817087659254,0.0975505009354645,0.4307523470077445,3.153120004585672,0.9884874215045458,10
Pt8Snx,6,1000K,1000,8.0,6.0,14.0,0.16446833759381313,0.042845818859806144,0.0,0.0,4.121740559509766,0.27704968619406184,0.2381678837446588,3.1337692482961677,0.09888530361441228,0.4234095711016157,3.1878018055949946,0.9745728530689277,10
Pt8Snx,6,1100K,1100,8.0,6.0,14.0,0.16253313083909984,0.04077339142225404,0.0,0.0,3.864603141107353,0.2547213117326441,0.22835408090577491,3.047810400942331,0.10200558965789966,0.4059628104991555,3.6972112046235517,0.8224322113848256,10
Pt8Snx,7,200K,200,8.0,7.0,15.0,0.18864092534581184,0.022912713245040173,0.0,0.0,4.599822599938362,0.2685509394532973,0.30642688553899783,3.6274145824467943,0.11797104903329993,0.40023103417338496,3.1261271111149003,0.8807886500116012,7
Pt8Snx,7,300K,300,8.0,7.0,15.0,0.1942434508539725,0.033752013191783226,0.0,0.0,4.600652784373654,0.3017880363965457,0.27329356165016105,3.180662884231406,0.09742555600019456,0.3569548560328635,3.2352040309287653,1.2050541223639188,10
Pt8Snx,7,400K,400,8.0,7.0,15.0,0.18454858600979548,0.03294849786117505,0.0,0.0,4.3042221177440565,0.2647864229827978,0.2732413417352092,3.3318001770938404,0.1190848034408876,0.356886650429661,3.3011759617794203,0.9872079778419407,10
Pt8Snx,7,500K,500,8.0,7.0,15.0,0.24101518207484415,0.045894967056162646,0.0,0.0,4.192335832440028,0.2838168388156957,0.24022514023930785,2.705176790122471,0.07269037868452224,0.31376344847583065,3.558701336944521,1.457591448239553,10
